LR,MLP,RT,datetime
2.60377695826,2.35237103341,2.49824861493,2016-07-04 00:00:00
3.74219332885,3.83765375907,3.31018000518,2016-07-05 00:00:00
4.10932386881,4.16075748835,5.96698478357,2016-07-06 00:00:00
4.33548786195,4.60685890074,5.17047350794,2016-07-07 00:00:00
3.35824587797,3.50161754682,3.23438914606,2016-07-08 00:00:00
1.50108803987,1.55583847338,2.03227431438,2016-07-09 00:00:00
2.66441486914,2.50168268669,2.34194289044,2016-07-10 00:00:00
2.87873058525,2.83970714844,3.68159925803,2016-07-11 00:00:00
3.18826447175,3.04970621024,3.20321742188,2016-07-12 00:00:00
2.72058067085,2.63708918125,3.23582557157,2016-07-13 00:00:00
2.67915775666,2.89130943496,3.14318781329,2016-07-14 00:00:00
4.55754474761,4.38947696552,4.52976907473,2016-07-15 00:00:00
4.24108632467,4.30755012655,3.6195664898,2016-07-16 00:00:00
4.15557799715,4.21312749023,4.14502155648,2016-07-17 00:00:00
2.69210182255,2.88276541525,3.34926747104,2016-07-18 00:00:00
3.33049550084,3.02895145388,4.17426529353,2016-07-19 00:00:00
3.53503782222,3.93172855292,3.91444972719,2016-07-20 00:00:00
2.5547296477,2.53359451313,3.27318337767,2016-07-21 00:00:00
2.65985264512,2.71784201241,2.72574531092,2016-07-22 00:00:00
3.22962957326,3.09704429427,3.20468091163,2016-07-23 00:00:00
4.04537578295,4.08657748194,3.94666445254,2016-07-24 00:00:00
2.45763575423,2.46989080646,2.80364552694,2016-07-25 00:00:00
4.38537193993,4.48417377938,5.05104041355,2016-07-26 00:00:00
3.16920682517,3.85067597772,3.5914378633,2016-07-27 00:00:00
2.44289966277,2.43942238062,2.48183627922,2016-07-28 00:00:00
3.56242100172,3.63008247007,3.65642983888,2016-07-29 00:00:00
4.64152248594,5.02158003788,6.11569020362,2016-07-30 00:00:00
4.28368237092,4.68008625872,5.18764558029,2016-07-31 00:00:00
1.9602556585,1.84046994758,2.11524813943,2016-08-01 00:00:00
4.77908234771,4.02225171756,4.28917133497,2016-08-02 00:00:00
3.31499593117,3.39235052768,3.77872809398,2016-08-03 00:00:00
3.60182830406,3.55848200537,3.72740104074,2016-08-04 00:00:00
2.96709100432,2.84810168346,2.94994703342,2016-08-05 00:00:00
3.88514779035,4.21231028908,5.458360899,2016-08-06 00:00:00
9.08574055285,8.92958255895,11.1845876097,2016-08-07 00:00:00
3.21047537712,3.23676225937,3.54407597789,2016-08-08 00:00:00
2.48505997329,2.62177349984,2.7938548638,2016-08-09 00:00:00
3.99601141965,4.37431388912,4.40590571941,2016-08-10 00:00:00
3.31391221097,3.31059463463,4.11500085786,2016-08-11 00:00:00
3.40680886088,3.25786740637,3.68555739792,2016-08-12 00:00:00
3.6060137338,3.26869577147,3.1109871007,2016-08-13 00:00:00
3.34107618381,3.44606216787,3.29399706537,2016-08-14 00:00:00
2.7439665571,2.83668280592,2.78947104786,2016-08-15 00:00:00
2.63508361202,2.63081041664,3.59013208029,2016-08-16 00:00:00
3.00810100369,3.15363795521,3.59297439743,2016-08-17 00:00:00
2.89755080891,2.85761643489,2.95811032023,2016-08-18 00:00:00
3.57430540017,3.32385236376,3.19509373434,2016-08-19 00:00:00
2.54683297237,2.12635294736,2.52028804938,2016-08-20 00:00:00
3.14538497344,3.32089165773,3.85144423369,2016-08-21 00:00:00
4.10411932363,3.87006948997,3.18157633627,2016-08-22 00:00:00
4.40885951173,4.93337197037,5.47846102812,2016-08-23 00:00:00
3.91222779607,3.87207994207,4.58639291819,2016-08-24 00:00:00
3.41269227494,3.46870623347,3.19115168459,2016-08-25 00:00:00
3.26281882563,3.48045130544,4.40437098759,2016-08-26 00:00:00
4.21155384632,4.15335719114,4.98770362993,2016-08-27 00:00:00
4.41338802236,4.53135081855,4.82437507947,2016-08-28 00:00:00
3.38366340234,3.47244978638,3.82017669748,2016-08-29 00:00:00
3.15493282931,3.24582077255,4.20812705765,2016-08-30 00:00:00
4.68502754149,4.67034839221,5.07854966173,2016-08-31 00:00:00
3.53551228228,3.58698776285,4.40695998352,2016-09-01 00:00:00
